route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,trip_short_name,block_id,wheelchair_accessible,trip_note,route_direction,bikes_allowed
"SMNW_M1","3369949","0035-001-101-002:1000","3722","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-003:1000","5250","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-004:1000","5330","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-005:1000","5342","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-006:1000","3722","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-007:1000","5342","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-008:1000","3722","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-009:1000","5342","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-010:1000","3722","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-011:1000","5250","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-012:1000","5330","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-013:1000","5342","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-014:1000","3722","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-015:1000","5342","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-016:1000","3722","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-017:1000","5342","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-018:1000","3722","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-019:1000","5342","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-101-020:1000","3722","Sydenham","1","","0035-001-101","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-101-021:1000","5342","Tallawong","0","","0035-001-101","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-002:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-003:1000","5250","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-004:1000","5330","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-005:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-006:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-007:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-008:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-009:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-010:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-011:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-012:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-013:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-014:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-015:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-016:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-017:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-018:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-019:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-102-020:1000","3722","Sydenham","1","","0035-001-102","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-102-021:1000","5342","Tallawong","0","","0035-001-102","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-002:1000","3722","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-003:1000","5250","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-004:1000","5330","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-005:1000","5342","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-006:1000","3722","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-007:1000","5342","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-008:1000","3722","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-009:1000","5342","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-010:1000","3722","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-011:1000","5250","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-012:1000","5330","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-013:1000","5342","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-014:1000","3722","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-015:1000","5342","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-016:1000","3722","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-017:1000","5342","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-018:1000","3722","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-019:1000","5342","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-103-020:1000","3722","Sydenham","1","","0035-001-103","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-103-021:1000","5342","Tallawong","0","","0035-001-103","1","","Sydenham to Tallawong","1"
"SMNW_M1","3369949","0035-001-104-002:1000","3722","Sydenham","1","","0035-001-104","1","","Tallawong to Sydenham","1"
"SMNW_M1","3369949","0035-001-104-003:1000","5250","Tallawong","0","","0035-001-104","1","","Sydenham to Tallawong","1"
